 0.0000,  0.0000,  0.0000,  0.0000
 0.0125,  0.8950,  0.0125,  0.0800
 0.0250,  0.0400,  0.0400,  0.8950
 0.0125,  0.0125,  0.8950,  0.0800
 0.8950,  0.0800,  0.0125,  0.0125
 0.0000,  0.0000,  0.0000,  0.0000
 0.0400,  0.8950,  0.0250,  0.0400
 0.0250,  0.0400,  0.0400,  0.8950
 0.0400,  0.8950,  0.0400,  0.0250
 0.0400,  0.0400,  0.8950,  0.0250
 0.8950,  0.0267,  0.0267,  0.0267
 0.0000,  0.0000,  0.0000,  0.0000
 0.0000,  0.0000,  0.0000,  0.0000
 0.8950,  0.0250,  0.0400,  0.0400
 0.0400,  0.0250,  0.0400,  0.8950
 0.0125,  0.0125,  0.8950,  0.0800
 0.0000,  0.0000,  0.0000,  0.0000
